ID;Position;Bytes
0370;0;FF
0587;0;00
0690;0;03
0510;0;00
0042;1;FF
0081;3;00
059B;0;00
0350;5;00
0043;0;00
0080;1;17
05A0;0;00
0517;1;00
02C0;0;3D
01F1;0;00
0260;3;30
0034;0;00
05A2;0;25
04F0;0;00
0382;0;40
018F;6;00
04F2;4;00
00A1;2;80
0440;3;00
0329;7;10
05F0;0;00
0110;0;E0
0044;0;00
0018;6;20
0164;0;00
0050;0;00
04B1;4;00
0316;7;7F
043F;2;60
0120;0;00
02A0;1;00
0153;4;00
05E4;0;00
00A0;6;00
02B0;3;07
051A;0;00
0031;2;02
